DateID,AirlineID,Service_Region,Direction,Flights,Passengers,Seats_Available,Seat_Utilisation
202505,92,Vietnam,Inbound,88.0,20758.0,31118.0,0.667
202505,93,Vietnam,Inbound,86.0,21527.0,26309.0,0.818
202505,95,Fiji,Inbound,70.0,9842.0,12596.0,0.7809999999999999
202505,95,Indonesia,Inbound,137.0,21988.0,24808.0,0.8859999999999999
202505,95,New Zealand,Inbound,33.0,5298.0,5868.0,0.903
202505,95,Vanuatu,Inbound,31.0,3359.0,5516.0,0.609
202505,95,Western Samoa,Inbound,4.0,494.0,722.0,0.684
202505,95,ALL SERVICES,Inbound,275.0,40981.0,49510.0,0.828
202505,97,China,Inbound,51.0,12354.0,13936.0,0.8859999999999999
202505,5,New Caledonia,Outbound,17.0,2500.0,3667.0,0.682
202505,6,Canada,Outbound,52.0,13749.0,15658.0,0.878
202505,8,China,Outbound,31.0,8098.0,9031.0,0.897
202505,9,India,Outbound,62.0,13322.0,15872.0,0.8390000000000001
202505,10,Mauritius,Outbound,8.0,1883.0,2350.0,0.8009999999999999
202505,11,New Zealand,Outbound,598.0,104447.0,126040.0,0.8290000000000001
202505,12,Papua New Guinea,Outbound,85.0,5269.0,10846.0,0.486
202505,16,Malaysia,Outbound,33.0,5467.0,7788.0,0.7020000000000001
202505,17,Malaysia,Outbound,50.0,9381.0,18850.0,0.498
202505,20,Japan,Outbound,76.0,12282.0,18696.0,0.657
202505,21,USA,Outbound,29.0,7569.0,8816.0,0.8590000000000001
202505,22,Korea,Outbound,31.0,7784.0,9362.0,0.831
202505,24,Indonesia,Outbound,49.0,5910.0,7644.0,0.773
202505,25,China,Outbound,31.0,6148.0,9048.0,0.679
202505,26,UK,Outbound,30.0,6094.0,6480.0,0.94
202505,28,Hong Kong (SAR),Outbound,308.0,74607.0,89764.0,0.831
202505,29,Philippines,Outbound,41.0,11062.0,18819.0,0.588
202505,30,New Zealand,Outbound,19.0,2477.0,5814.0,0.426
202505,30,Taiwan,Outbound,57.0,14322.0,17442.0,0.821
