Year,Month,Airline_Name,Service_Region,Direction,Flights,Passengers,Seats_Available,Seat_Utilisation
2025,5,Qantas Airways,India,Inbound,36.0,8103.0,8778.0,92.3
2025,5,Qantas Airways,Indonesia,Inbound,97.0,20975.0,22989.0,91.2
2025,5,Qantas Airways,Japan,Inbound,124.0,31723.0,35548.0,89.2
2025,5,Qantas Airways,Korea,Inbound,2.0,587.0,594.0,98.8
2025,5,Qantas Airways,New Caledonia,Inbound,25.0,2614.0,3419.0,76.5
2025,5,Qantas Airways,New Zealand,Inbound,655.0,92039.0,109253.0,84.2
2025,5,Qantas Airways,Palau,Inbound,4.0,214.0,505.0,42.4
2025,5,Qantas Airways,Papua New Guinea,Inbound,31.0,3885.0,5289.0,73.5
2025,5,Qantas Airways,Philippines,Inbound,49.0,12751.0,13552.0,94.1
2025,5,Qantas Airways,Singapore,Inbound,179.0,37487.0,46904.0,79.9
2025,5,Qantas Airways,Solomon Islands,Inbound,17.0,1039.0,1638.0,63.4
2025,5,Qantas Airways,South Africa,Inbound,20.0,7984.0,9632.0,82.9
2025,5,Qantas Airways,Thailand,Inbound,31.0,7684.0,8616.0,89.2
2025,5,Qantas Airways,Tonga,Inbound,8.0,721.0,1208.0,59.7
2025,5,Qantas Airways,UK,Inbound,59.0,17511.0,21022.0,83.3
2025,5,Qantas Airways,USA,Inbound,217.0,46085.0,57185.0,80.6
2025,5,Qantas Airways,Vanuatu,Inbound,17.0,1233.0,1643.0,75.1
2025,5,Qantas Airways,Western Somoa,Inbound,14.0,1827.0,2126.0,85.9
2025,5,Qantas Airways,ALL SERVICES,Inbound,1759.0,321197.0,384919.0,83.4
2025,5,Qatar Airways,Qatar,Inbound,185.0,49889.0,73001.0,68.3
2025,5,Royal Brunei Airlines,Brunei,Inbound,23.0,2726.0,5842.0,46.7
2025,5,Scoot Tigerair,Singapore,Inbound,143.0,45011.0,51147.0,88.0
2025,5,Sichuan Airlines,China,Inbound,35.0,8148.0,10341.0,78.8
2025,5,Singapore Airlines,New Zealand,Inbound,8.0,,,
2025,5,Singapore Airlines,Singapore,Inbound,621.0,151841.0,176772.0,85.9
2025,5,Singapore Airlines,USA,Inbound,30.0,,,
2025,5,Singapore Airlines,ALL SERVICES,Inbound,659.0,151841.0,176772.0,85.9
2025,5,Solomon Airlines,New Zealand,Inbound,5.0,360.0,735.0,49.0
2025,5,Solomon Airlines,Solomon Islands,Inbound,13.0,1245.0,1911.0,65.1
2025,5,Solomon Airlines,Vanuatu,Inbound,4.0,337.0,588.0,57.3
2025,5,Solomon Airlines,ALL SERVICES,Inbound,22.0,1942.0,3234.0,60.0
2025,5,South African Airways,South Africa,Inbound,20.0,3608.0,5060.0,71.3
2025,5,SriLankan Airlines,Sri Lanka,Inbound,49.0,12641.0,14522.0,87.0
2025,5,Tasman Cargo Airlines (a),Hong Kong (SAR),Inbound,28.0,,,
2025,5,Tasman Cargo Airlines (a),New Zealand,Inbound,49.0,,,
2025,5,Tasman Cargo Airlines,ALL SERVICES,Inbound,77.0,,,
2025,5,Thai Airways International,Thailand,Inbound,155.0,35251.0,50425.0,69.9
2025,5,Tianjin Airlines,China,Inbound,9.0,1930.0,2340.0,82.5
2025,5,TransNusa,Indonesia,Inbound,18.0,1493.0,3132.0,47.7
2025,5,Turkish Airlines,Turkey,Inbound,31.0,4447.0,10199.0,43.6
2025,5,T'way Air,Korea,Inbound,14.0,4058.0,4858.0,83.5
2025,5,United Airlines,USA,Inbound,121.0,23519.0,32045.0,73.4
2025,5,United Parcel Service (a),China,Inbound,5.0,,,
2025,5,United Parcel Service (a),USA,Inbound,27.0,,,
2025,5,United Parcel Service,ALL SERVICES,Inbound,32.0,,,
2025,5,Vietjet Air,Vietnam,Inbound,88.0,20758.0,31118.0,66.7
2025,5,Vietnam Airlines,Vietnam,Inbound,86.0,21527.0,26309.0,81.8
2025,5,Virgin Australia,Fiji,Inbound,70.0,9842.0,12596.0,78.1
2025,5,Virgin Australia,Indonesia,Inbound,137.0,21988.0,24808.0,88.6
2025,5,Virgin Australia,New Zealand,Inbound,33.0,5298.0,5868.0,90.3
2025,5,Virgin Australia,Vanuatu,Inbound,31.0,3359.0,5516.0,60.9
2025,5,Virgin Australia,Western Samoa,Inbound,4.0,494.0,722.0,68.4
2025,5,Virgin Australia,ALL SERVICES,Inbound,275.0,40981.0,49510.0,82.8
2025,5,Xiamen Airlines,China,Inbound,51.0,12354.0,13936.0,88.6
2025,5,Air Caledonie International,New Caledonia,Outbound,17.0,2500.0,3667.0,68.2
2025,5,Air Canada,Canada,Outbound,52.0,13749.0,15658.0,87.8
2025,5,Air China,China,Outbound,31.0,8098.0,9031.0,89.7
2025,5,Air India,India,Outbound,62.0,13322.0,15872.0,83.9
2025,5,Air Mauritius,Mauritius,Outbound,8.0,1883.0,2350.0,80.1
2025,5,Air New Zealand,New Zealand,Outbound,598.0,104447.0,126040.0,82.9
2025,5,Air Niugini,Papua New Guinea,Outbound,85.0,5269.0,10846.0,48.6
2025,5,AirAsia Berhad,Malaysia,Outbound,33.0,5467.0,7788.0,70.2
2025,5,AirAsia X,Malaysia,Outbound,50.0,9381.0,18850.0,49.8
2025,5,All Nippon Airways,Japan,Outbound,76.0,12282.0,18696.0,65.7
2025,5,American Airlines,USA,Outbound,29.0,7569.0,8816.0,85.9
2025,5,Asiana Airlines,Korea,Outbound,31.0,7784.0,9362.0,83.1
2025,5,Batik Air Indonesia,Indonesia,Outbound,49.0,5910.0,7644.0,77.3
2025,5,Beijing Capital Airlines,China,Outbound,31.0,6148.0,9048.0,67.9
2025,5,British Airways,UK,Outbound,30.0,6094.0,6480.0,94.0
2025,5,Cathay Pacific Airways,Hong Kong (SAR),Outbound,308.0,74607.0,89764.0,83.1
2025,5,Cebu Pacific Air,Philippines,Outbound,41.0,11062.0,18819.0,58.8
2025,5,China Airlines,New Zealand,Outbound,19.0,2477.0,5814.0,42.6
2025,5,China Airlines,Taiwan,Outbound,57.0,14322.0,17442.0,82.1
2025,5,China Airlines,ALL SERVICES,Outbound,76.0,16799.0,23256.0,72.2
2025,5,China Eastern Airlines,China,Outbound,164.0,32624.0,45340.0,72.0
2025,5,China Eastern Airlines,New Zealand,Outbound,8.0,909.0,2112.0,43.0
2025,5,China Eastern Airlines,ALL SERVICES,Outbound,172.0,33533.0,47452.0,70.7
2025,5,China Southern Airlines,China,Outbound,145.0,37344.0,40893.0,91.3
2025,5,Delta Air Lines,USA,Outbound,30.0,6488.0,9180.0,70.7
2025,5,Emirates,New Zealand,Outbound,31.0,5775.0,15004.0,38.5
2025,5,Emirates,United Arab Emirates,Outbound,350.0,119420.0,151167.0,79.0
