DateID,AirlineID,Country,Direction,Passengers,Freight_tonnes,Mail_tonnes
202505,57,Chile,Outbound,7858.0,428.7,52.5
202505,57,New Zealand,Outbound,1877.0,72.7,
202505,57,,Outbound,9735.0,501.4,52.5
202505,58,Malaysia,Inbound,40781.0,2153.1,31.4
202505,58,Malaysia,Outbound,39271.0,785.4,
202505,59,Indonesia,Inbound,16365.0,1.6,
202505,59,Indonesia,Outbound,16266.0,,
202505,59,Malaysia,Inbound,6065.0,40.7,
202505,59,Malaysia,Outbound,5220.0,,
202505,59,,Inbound,22430.0,42.2,
202505,59,,Outbound,21486.0,,
202505,60,Nauru,Inbound,890.0,18.4,0.0
202505,60,Nauru,Outbound,872.0,71.4,3.6
202505,60,Solomon Islands,Inbound,,,
202505,60,Solomon Islands,Outbound,,37.9,
202505,60,,Inbound,890.0,18.4,0.0
202505,60,,Outbound,872.0,109.3,3.6
202505,64,Philippines,Inbound,17860.0,272.7,3.7
202505,64,Philippines,Outbound,16001.0,489.6,
202505,66,Canada,Inbound,2694.0,41.5,
202505,66,Canada,Outbound,2895.0,3.5,43.0
202505,66,Chile,Inbound,3415.0,30.0,
202505,66,China,Inbound,,,
202505,66,East Timor,Inbound,1291.0,0.0,0.0
202505,66,East Timor,Outbound,1372.0,0.4,9.1
202505,66,Fiji,Outbound,4485.0,0.0,1.8
202505,66,France,Outbound,2600.0,0.3,3.8
202505,66,Hong Kong (SAR),Inbound,11764.0,1164.5,0.1
202505,66,Hong Kong (SAR),Outbound,11984.0,300.5,15.1
202505,66,India,Inbound,6862.0,127.7,
202505,66,India,Outbound,6700.0,1.0,5.9
202505,66,Indonesia,Inbound,18421.0,398.8,11.1
202505,66,Indonesia,Outbound,17640.0,104.7,3.3
202505,66,Japan,Inbound,29731.0,736.7,40.7
202505,66,Korea,Inbound,542.0,3.9,
202505,66,New Caledonia,Inbound,2342.0,1.8,
202505,66,New Caledonia,Outbound,2057.0,5.5,1.6
202505,66,New Zealand,Inbound,76673.0,287.8,0.9
202505,66,New Zealand,Outbound,67445.0,179.5,264.8
202505,66,Palau,Inbound,214.0,,
202505,66,Palau,Outbound,229.0,,
202505,66,Papua New Guinea,Inbound,3327.0,,
202505,66,Papua New Guinea,Outbound,3025.0,1.1,3.0
202505,66,Philippines,Inbound,9143.0,292.8,5.0
202505,66,Philippines,Outbound,8147.0,14.4,6.8
202505,66,Singapore,Inbound,41994.0,1358.7,19.4
202505,66,Singapore,Outbound,41881.0,926.7,66.8
202505,66,Solomon Islands,Inbound,1030.0,,
202505,66,Solomon Islands,Outbound,932.0,0.1,1.6
202505,66,South Africa,Inbound,6655.0,90.1,0.2
202505,66,South Africa,Outbound,6781.0,2.7,2.2
202505,66,Thailand,Inbound,6319.0,267.0,1.7
202505,66,Tonga,Inbound,721.0,,
202505,66,UK,Inbound,10712.0,133.2,34.0
202505,66,UK,Outbound,14015.0,3.3,47.5
202505,66,USA,Inbound,42746.0,1523.9,18.8
202505,66,USA,Outbound,39587.0,177.1,206.1
202505,66,Vanuatu,Inbound,1168.0,3.4,0.1
202505,66,Vanuatu,Outbound,1066.0,1.8,2.9
202505,66,Western Samoa,Inbound,1818.0,,
202505,66,Western Samoa,Outbound,1694.0,0.3,0.1
202505,66,,Inbound,286281.0,6504.4,136.3
202505,66,,Outbound,273058.0,1928.9,735.6
202505,67,Qatar,Inbound,49889.0,1440.0,42.5
202505,67,Qatar,Outbound,69792.0,1470.7,8.4
202505,68,Brunei,Inbound,2726.0,148.1,0.0
202505,68,Brunei,Outbound,2691.0,241.9,0.5
202505,71,Singapore,Inbound,45011.0,813.1,23.2
202505,71,Singapore,Outbound,45552.0,615.9,
202505,72,China,Inbound,8148.0,280.2,13.1
202505,72,China,Outbound,9431.0,136.4,
202505,74,New Zealand,Inbound,,122.1,
202505,74,New Zealand,Outbound,,370.1,
202505,74,Singapore,Inbound,151841.0,6674.8,29.1
202505,74,USA,Inbound,,1322.8,
202505,74,,Inbound,151841.0,8119.7,29.1
202505,74,,Outbound,153925.0,7286.3,
202505,76,New Zealand,Inbound,360.0,,
202505,76,New Zealand,Outbound,229.0,0.4,
202505,76,Solomon Islands,Inbound,1245.0,2.3,
202505,76,Solomon Islands,Outbound,1086.0,13.4,
202505,76,Vanuatu,Inbound,337.0,0.5,
202505,76,Vanuatu,Outbound,482.0,6.8,
202505,76,,Inbound,1942.0,2.8,
202505,76,,Outbound,1797.0,20.6,
202505,77,South Africa,Inbound,3608.0,26.0,
202505,77,South Africa,Outbound,3404.0,137.1,
202505,78,Sri Lanka,Inbound,12641.0,313.1,
202505,78,Sri Lanka,Outbound,11593.0,372.6,3.8
202505,79,Korea,Inbound,4058.0,155.0,0.8
202505,79,Korea,Outbound,4265.0,56.5,
202505,80,Hong Kong (SAR),Outbound,,412.3,
202505,80,New Zealand,Outbound,,1155.2,
202505,80,,Inbound,,1723.1,
202505,80,,Outbound,,1567.5,
202505,82,Thailand,Inbound,35251.0,1774.6,19.5
202505,82,Thailand,Outbound,34700.0,793.3,
202505,83,China,Inbound,1930.0,93.2,5.9
202505,83,China,Outbound,2037.0,7.0,
202505,87,Indonesia,Inbound,1493.0,,
202505,88,Singapore,Inbound,658.0,0.1,
202505,88,Turkey,Inbound,3789.0,294.8,2.5
202505,88,Turkey,Outbound,6797.0,273.9,
202505,88,,Inbound,4447.0,294.9,2.5
202505,88,,Outbound,7119.0,273.9,
202505,89,USA,Inbound,23519.0,592.6,18.8
202505,89,USA,Outbound,22072.0,875.9,252.6
202505,90,China,Inbound,,215.1,
202505,90,China,Outbound,,215.7,
202505,90,Korea,Outbound,,80.7,
202505,90,Singapore,Outbound,,78.7,
202505,90,USA,Inbound,,1215.8,
202505,90,USA,Outbound,,,
202505,90,,Inbound,,1430.9,
202505,90,,Outbound,,375.2,
202505,92,Vietnam,Inbound,20758.0,559.3,
202505,92,Vietnam,Outbound,17052.0,,
202505,93,Vietnam,Inbound,21527.0,980.7,
202505,93,Vietnam,Outbound,21261.0,324.1,1.8
202505,95,Fiji,Inbound,9842.0,,
202505,95,Fiji,Outbound,9904.0,,
202505,95,Indonesia,Inbound,21988.0,,
202505,95,Indonesia,Outbound,22113.0,,
202505,95,New Zealand,Outbound,4244.0,,
202505,95,Western Samoa,Inbound,494.0,,
202505,95,,Inbound,40981.0,,
202505,95,,Outbound,40455.0,,
202505,97,China,Inbound,12354.0,728.7,1.1
202505,97,China,Outbound,12574.0,307.4,
