Year,Australian_City,Foreign_City,Direction,Metric,Value
2024,Perth,Manila,Inbound,Passengers,1454
2024,Perth,Mauritius,Inbound,Passengers,1849
2024,Perth,Paris,Inbound,Passengers,0
2024,Perth,Phuket,Inbound,Passengers,0
2024,Perth,Singapore,Inbound,Passengers,55565
2024,Perth,Tokyo,Inbound,Passengers,0
2024,Sunshine Coast,Auckland,Inbound,Passengers,0
2024,Sydney,Abu Dhabi,Inbound,Passengers,7828
2024,Sydney,Auckland,Inbound,Passengers,49980
2024,Sydney,Bangalore,Inbound,Passengers,4799
2024,Sydney,Bangkok,Inbound,Passengers,20116
2024,Sydney,Beijing,Inbound,Passengers,4235
2024,Sydney,Chengdu,Inbound,Passengers,3175
2024,Sydney,Chicago,Inbound,Passengers,0
2024,Sydney,Chongqing,Inbound,Passengers,539
2024,Sydney,Christchurch,Inbound,Passengers,14333
2024,Sydney,Colombo,Inbound,Passengers,2986
2024,Sydney,Dallas,Inbound,Passengers,5274
2024,Sydney,Denpasar,Inbound,Passengers,35058
2024,Sydney,Doha,Inbound,Passengers,11790
2024,Sydney,Dubai,Inbound,Passengers,26998
2024,Sydney,Gaborone,Inbound,Passengers,0
2024,Sydney,Guangzhou,Inbound,Passengers,15180
2024,Sydney,Haikou,Inbound,Passengers,2774
2024,Sydney,Hangzhou,Inbound,Passengers,1080
2024,Sydney,Hanoi,Inbound,Passengers,2398
2024,Sydney,Ho Chi Minh City,Inbound,Passengers,14677
2024,Sydney,Hong Kong,Inbound,Passengers,25967
2024,Sydney,Honolulu,Inbound,Passengers,13557
2024,Sydney,Istanbul,Inbound,Passengers,0
2024,Sydney,Jakarta,Inbound,Passengers,9358
2024,Sydney,Jinan,Inbound,Passengers,1271
2024,Sydney,Johannesburg,Inbound,Passengers,4922
2024,Sydney,Kuala Lumpur,Inbound,Passengers,18110
2024,Sydney,London,Inbound,Passengers,9026
2024,Sydney,Los Angeles,Inbound,Passengers,29100
2024,Sydney,Louisville,Inbound,Passengers,0
2024,Sydney,Manila,Inbound,Passengers,17882
2024,Sydney,Nadi,Inbound,Passengers,24052
2024,Sydney,Nanjing,Inbound,Passengers,1801
2024,Sydney,New Delhi,Inbound,Passengers,6930
2024,Sydney,New York,Inbound,Passengers,1311
2024,Sydney,Noumea,Inbound,Passengers,1565
2024,Sydney,Osaka,Inbound,Passengers,3173
2024,Sydney,Paris,Inbound,Passengers,0
2024,Sydney,Phuket,Inbound,Passengers,4079
2024,Sydney,Port Moresby,Inbound,Passengers,1026
2024,Sydney,Port Vila,Inbound,Passengers,384
2024,Sydney,Qingdao,Inbound,Passengers,1141
2024,Sydney,Queenstown,Inbound,Passengers,11850
2024,Sydney,Rarotonga,Inbound,Passengers,2786
2024,Sydney,San Francisco,Inbound,Passengers,7797
2024,Sydney,Santiago,Inbound,Passengers,6548
2024,Sydney,Seoul,Inbound,Passengers,28318
2024,Sydney,Shanghai,Inbound,Passengers,14581
2024,Sydney,Shenzhen,Inbound,Passengers,2654
2024,Sydney,Singapore,Inbound,Passengers,64256
2024,Sydney,Taipei,Inbound,Passengers,3973
2024,Sydney,Taiyuan,Inbound,Passengers,49
2024,Sydney,Tianjin,Inbound,Passengers,192
2024,Sydney,Tokyo,Inbound,Passengers,28132
2024,Sydney,Tongatapu,Inbound,Passengers,483
2024,Sydney,Toronto,Inbound,Passengers,1368
2024,Sydney,Vancouver,Inbound,Passengers,8472
2024,Sydney,Wellington,Inbound,Passengers,10576
2024,Sydney,Wuhan,Inbound,Passengers,1548
2024,Sydney,Xiamen,Inbound,Passengers,6292
2024,Sydney,Xi'an,Inbound,Passengers,424
2024,Sydney,Zhengzhou,Inbound,Passengers,1184
2024,Toowoomba Wellcamp,Hong Kong,Inbound,Passengers,0
2024,Australia,Abu Dhabi,Inbound,Passengers,13671
2024,Australia,Apia,Inbound,Passengers,2292
2024,Australia,Auckland,Inbound,Passengers,147042
2024,Australia,Bandar Seri Begawan,Inbound,Passengers,1807
2024,Australia,Bangalore,Inbound,Passengers,4799
2024,Australia,Bangkok,Inbound,Passengers,39019
2024,Australia,Beijing,Inbound,Passengers,8544
2024,Australia,Bombay,Inbound,Passengers,2968
2024,Australia,Chengdu,Inbound,Passengers,5983
2024,Australia,Chicago,Inbound,Passengers,0
2024,Australia,Chongqing,Inbound,Passengers,539
2024,Australia,Christchurch,Inbound,Passengers,37970
2024,Australia,Colombo,Inbound,Passengers,10702
2024,Australia,Dallas,Inbound,Passengers,7378
2024,Australia,Denpasar,Inbound,Passengers,150811
2024,Australia,Dili,Inbound,Passengers,1187
2024,Australia,Doha,Inbound,Passengers,48328
2024,Australia,Dubai,Inbound,Passengers,69733
2024,Australia,Espiritu Santo,Inbound,Passengers,100
2024,Australia,Gaborone,Inbound,Passengers,0
2024,Australia,Guangzhou,Inbound,Passengers,29518
2024,Australia,Haikou,Inbound,Passengers,4975
2024,Australia,Hangzhou,Inbound,Passengers,1080
2024,Australia,Hanoi,Inbound,Passengers,3814
2024,Australia,Ho Chi Minh City,Inbound,Passengers,39052
2024,Australia,Hong Kong,Inbound,Passengers,54874
2024,Australia,Honiara,Inbound,Passengers,1971
2024,Australia,Honolulu,Inbound,Passengers,16110
2024,Australia,Istanbul,Inbound,Passengers,1155
2024,Australia,Jakarta,Inbound,Passengers,14147
2024,Australia,Jinan,Inbound,Passengers,1271
2024,Australia,Johannesburg,Inbound,Passengers,7022
2024,Australia,Kuala Lumpur,Inbound,Passengers,67355
2024,Australia,London,Inbound,Passengers,14842
2024,Australia,Los Angeles,Inbound,Passengers,44750
2024,Australia,Louisville,Inbound,Passengers,0
2024,Australia,Manila,Inbound,Passengers,30979
2024,Australia,Mauritius,Inbound,Passengers,1849
2024,Australia,Munda,Inbound,Passengers,0
2024,Australia,Nadi,Inbound,Passengers,48051
2024,Australia,Nanjing,Inbound,Passengers,1801
2024,Australia,Nauru,Inbound,Passengers,675
2024,Australia,New Delhi,Inbound,Passengers,16756
2024,Australia,New York,Inbound,Passengers,1311
2024,Australia,Noumea,Inbound,Passengers,3008
2024,Australia,Osaka,Inbound,Passengers,11016
2024,Australia,Palau,Inbound,Passengers,18
2024,Australia,Paris,Inbound,Passengers,0
2024,Australia,Phuket,Inbound,Passengers,8108
2024,Australia,Port Moresby,Inbound,Passengers,9230
2024,Australia,Port Vila,Inbound,Passengers,3940
2024,Australia,Qingdao,Inbound,Passengers,1784
2024,Australia,Queenstown,Inbound,Passengers,22386
2024,Australia,Rarotonga,Inbound,Passengers,2786
2024,Australia,San Francisco,Inbound,Passengers,16142
