Year,Month,Airline_Name,Country,Passengers,Freight_tonnes,Mail_tonnes,Direction,DateID,YearMonthDate
2009,1,Eva Air,Taiwan,3363.0,165.3,2.3,Outbound,200901,2009-01-01
2009,1,Federal Express Corporation,Philippines,,251.3,0.0,Outbound,200901,2009-01-01
2009,1,Federal Express Corporation,USA,,692.4,20.7,Inbound,200901,2009-01-01
2009,1,Garuda Indonesia,Indonesia,24994.0,161.4,7.3,Inbound,200901,2009-01-01
2009,1,Garuda Indonesia,Indonesia,17474.0,106.5,0.0,Outbound,200901,2009-01-01
2009,1,Hawaiian Airlines,USA,2607.0,2.0,1.5,Inbound,200901,2009-01-01
2009,1,Hawaiian Airlines,USA,1950.0,23.5,0.0,Outbound,200901,2009-01-01
2009,1,JALways,Japan,19355.0,199.9,82.8,Inbound,200901,2009-01-01
2009,1,JALways,Japan,16434.0,159.0,0.5,Outbound,200901,2009-01-01
2009,1,Jetstar,Indonesia,14771.0,175.6,0.0,Inbound,200901,2009-01-01
2009,1,Jetstar,Indonesia,12261.0,10.4,0.2,Outbound,200901,2009-01-01
2009,1,Jetstar,Japan,21198.0,100.4,26.3,Inbound,200901,2009-01-01
2009,1,Jetstar,Japan,19116.0,117.4,6.0,Outbound,200901,2009-01-01
2009,1,Jetstar,New Zealand,17054.0,47.1,0.0,Inbound,200901,2009-01-01
2009,1,Jetstar,New Zealand,16873.0,20.4,0.0,Outbound,200901,2009-01-01
2009,1,Jetstar,Singapore,13745.0,16.5,0.0,Inbound,200901,2009-01-01
2009,1,Jetstar,Singapore,10829.0,4.6,11.4,Outbound,200901,2009-01-01
2009,1,Jetstar,Thailand,7186.0,93.5,1.2,Inbound,200901,2009-01-01
2009,1,Jetstar,Thailand,6192.0,70.1,1.0,Outbound,200901,2009-01-01
2009,1,Jetstar,USA,5569.0,43.3,0.5,Inbound,200901,2009-01-01
2009,1,Jetstar,USA,4149.0,52.9,0.4,Outbound,200901,2009-01-01
2009,1,Jetstar,Vietnam,3067.0,4.4,0.0,Inbound,200901,2009-01-01
2009,1,Jetstar,Vietnam,2846.0,0.2,0.0,Outbound,200901,2009-01-01
2009,1,Korean Air,Korea,18508.0,579.5,70.2,Inbound,200901,2009-01-01
2009,1,Korean Air,Korea,14281.0,430.9,16.0,Outbound,200901,2009-01-01
2009,1,LAN Airlines,Chile,2995.0,129.1,1.0,Inbound,200901,2009-01-01
2009,1,LAN Airlines,Chile,2477.0,44.0,3.6,Outbound,200901,2009-01-01
2009,1,LAN Airlines,New Zealand,3024.0,22.2,0.0,Inbound,200901,2009-01-01
2009,1,LAN Airlines,New Zealand,3140.0,50.6,0.0,Outbound,200901,2009-01-01
2009,1,Malaysia Airlines,Malaysia,40337.0,1980.2,11.8,Inbound,200901,2009-01-01
2009,1,Malaysia Airlines,Malaysia,33459.0,1550.7,0.0,Outbound,200901,2009-01-01
2009,1,Our Airline,Nauru,295.0,0.6,0.0,Inbound,200901,2009-01-01
2009,1,Our Airline,Nauru,391.0,12.6,0.0,Outbound,200901,2009-01-01
2009,1,Our Airline,Solomon Islands,387.0,0.0,0.0,Inbound,200901,2009-01-01
2009,1,Our Airline,Solomon Islands,389.0,0.0,0.0,Outbound,200901,2009-01-01
2009,1,OzJet,Indonesia,1331.0,0.0,0.0,Inbound,200901,2009-01-01
2009,1,OzJet,Indonesia,698.0,0.0,0.0,Outbound,200901,2009-01-01
2009,1,Pacific Air Express,Solomon Islands,,2.8,0.0,Inbound,200901,2009-01-01
2009,1,Pacific Air Express,Solomon Islands,,38.5,0.0,Outbound,200901,2009-01-01
2009,1,Philippine Airlines,Philippines,8624.0,70.3,5.4,Inbound,200901,2009-01-01
2009,1,Philippine Airlines,Philippines,5500.0,32.1,0.0,Outbound,200901,2009-01-01
2009,1,Qantas Airways,Argentina,3755.0,7.8,0.0,Inbound,200901,2009-01-01
2009,1,Qantas Airways,Argentina,2668.0,6.3,0.8,Outbound,200901,2009-01-01
2009,1,Qantas Airways,China,9575.0,333.0,15.5,Inbound,200901,2009-01-01
2009,1,Qantas Airways,China,7297.0,169.3,9.2,Outbound,200901,2009-01-01
2009,1,Qantas Airways,Fiji,227.0,0.0,0.0,Inbound,200901,2009-01-01
2009,1,Qantas Airways,Germany,3966.0,262.9,3.7,Inbound,200901,2009-01-01
2009,1,Qantas Airways,Germany,4593.0,18.7,49.1,Outbound,200901,2009-01-01
2009,1,Qantas Airways,Hong Kong (SAR),34784.0,828.6,8.9,Inbound,200901,2009-01-01
2009,1,Qantas Airways,Hong Kong (SAR),25314.0,1326.6,63.0,Outbound,200901,2009-01-01
2009,1,Qantas Airways,India,2320.0,33.0,0.0,Inbound,200901,2009-01-01
2009,1,Qantas Airways,India,1788.0,10.4,5.0,Outbound,200901,2009-01-01
2009,1,Qantas Airways,Indonesia,3656.0,40.1,0.0,Inbound,200901,2009-01-01
2009,1,Qantas Airways,Indonesia,3078.0,85.5,3.2,Outbound,200901,2009-01-01
2009,1,Qantas Airways,Japan,11388.0,120.1,54.1,Inbound,200901,2009-01-01
2009,1,Qantas Airways,Japan,10373.0,84.0,75.2,Outbound,200901,2009-01-01
2009,1,Qantas Airways,New Caledonia,2953.0,1.4,0.2,Inbound,200901,2009-01-01
2009,1,Qantas Airways,New Caledonia,2415.0,9.5,2.5,Outbound,200901,2009-01-01
2009,1,Qantas Airways,New Zealand,58995.0,1297.5,0.0,Inbound,200901,2009-01-01
2009,1,Qantas Airways,New Zealand,55872.0,1078.3,145.2,Outbound,200901,2009-01-01
2009,1,Qantas Airways,Philippines,3800.0,29.1,5.1,Inbound,200901,2009-01-01
2009,1,Qantas Airways,Philippines,2909.0,57.0,2.1,Outbound,200901,2009-01-01
2009,1,Qantas Airways,Singapore,47056.0,957.5,34.1,Inbound,200901,2009-01-01
2009,1,Qantas Airways,Singapore,39136.0,1831.1,153.1,Outbound,200901,2009-01-01
2009,1,Qantas Airways,South Africa,7534.0,74.2,4.2,Inbound,200901,2009-01-01
2009,1,Qantas Airways,South Africa,6970.0,33.4,9.5,Outbound,200901,2009-01-01
2009,1,Qantas Airways,Thailand,3430.0,111.1,7.7,Inbound,200901,2009-01-01
2009,1,Qantas Airways,Thailand,3336.0,136.7,15.3,Outbound,200901,2009-01-01
2009,1,Qantas Airways,UK,19705.0,327.5,66.7,Inbound,200901,2009-01-01
2009,1,Qantas Airways,UK,18843.0,67.1,147.3,Outbound,200901,2009-01-01
2009,1,Qantas Airways,USA,50608.0,1387.5,186.8,Inbound,200901,2009-01-01
2009,1,Qantas Airways,USA,40914.0,384.0,172.3,Outbound,200901,2009-01-01
2009,1,Qantas Airways,United Arab Emirates,,0.0,0.0,Outbound,200901,2009-01-01
2009,1,Royal Brunei Airlines,Brunei,8683.0,62.2,0.1,Inbound,200901,2009-01-01
2009,1,Royal Brunei Airlines,Brunei,6045.0,122.6,0.0,Outbound,200901,2009-01-01
2009,1,Royal Brunei Airlines,New Zealand,1549.0,46.1,0.0,Inbound,200901,2009-01-01
2009,1,Royal Brunei Airlines,New Zealand,1589.0,36.9,0.0,Outbound,200901,2009-01-01
2009,1,Singapore Airlines,New Zealand,,44.4,0.0,Inbound,200901,2009-01-01
2009,1,Singapore Airlines,New Zealand,,233.7,0.0,Outbound,200901,2009-01-01
2009,1,Singapore Airlines,Singapore,141528.0,3664.5,143.7,Inbound,200901,2009-01-01
2009,1,Singapore Airlines,Singapore,111712.0,5125.6,0.7,Outbound,200901,2009-01-01
2009,1,SkyAirWorld,Solomon Islands,393.0,0.0,0.0,Inbound,200901,2009-01-01
2009,1,SkyAirWorld,Solomon Islands,305.0,0.0,0.0,Outbound,200901,2009-01-01
2009,1,Solomon Airlines,Solomon Islands,401.0,2.7,0.0,Inbound,200901,2009-01-01
2009,1,Solomon Airlines,Solomon Islands,335.0,4.6,0.0,Outbound,200901,2009-01-01
2009,1,South African Airways,South Africa,6562.0,27.0,3.2,Inbound,200901,2009-01-01
2009,1,South African Airways,South Africa,5675.0,85.1,1.6,Outbound,200901,2009-01-01
2009,1,Tasman Cargo Airlines,New Zealand,,178.1,0.0,Inbound,200901,2009-01-01
2009,1,Tasman Cargo Airlines,New Zealand,,206.7,0.0,Outbound,200901,2009-01-01
2009,1,Thai Airways International,Thailand,49994.0,1265.9,175.1,Inbound,200901,2009-01-01
2009,1,Thai Airways International,Thailand,35166.0,1717.2,3.3,Outbound,200901,2009-01-01
2009,1,Tiger Airways,Singapore,5128.0,0.0,0.0,Inbound,200901,2009-01-01
2009,1,Tiger Airways,Singapore,3969.0,0.0,0.0,Outbound,200901,2009-01-01
2009,1,United Airlines,USA,22081.0,87.8,75.1,Inbound,200901,2009-01-01
2009,1,United Airlines,USA,20526.0,377.0,9.9,Outbound,200901,2009-01-01
2009,1,United Parcel Service,Hong Kong (SAR),,3.6,0.0,Outbound,200901,2009-01-01
2009,1,United Parcel Service,Singapore,,72.6,0.0,Outbound,200901,2009-01-01
2009,1,United Parcel Service,USA,,835.9,0.0,Inbound,200901,2009-01-01
2009,1,Vietnam Airlines,Vietnam,11218.0,130.3,0.0,Inbound,200901,2009-01-01
2009,1,Vietnam Airlines,Vietnam,10097.0,54.1,0.0,Outbound,200901,2009-01-01
2009,1,Virgin Atlantic Airways,Hong Kong (SAR),5610.0,200.8,0.0,Inbound,200901,2009-01-01
2009,1,Virgin Atlantic Airways,Hong Kong (SAR),2839.0,128.0,0.0,Outbound,200901,2009-01-01
2009,1,Virgin Atlantic Airways,UK,3256.0,19.2,0.0,Inbound,200901,2009-01-01
2009,1,Virgin Atlantic Airways,UK,3791.0,12.5,0.0,Outbound,200901,2009-01-01
2009,1,Virgin Australia,Fiji,8839.0,5.8,0.0,Inbound,200901,2009-01-01
2009,1,Virgin Australia,Fiji,6329.0,33.2,0.0,Outbound,200901,2009-01-01
2009,1,Virgin Australia,Indonesia,7226.0,0.0,0.0,Inbound,200901,2009-01-01
2009,1,Virgin Australia,Indonesia,6347.0,0.0,0.0,Outbound,200901,2009-01-01
2009,1,Virgin Australia,New Zealand,40708.0,32.6,0.0,Inbound,200901,2009-01-01
2009,1,Virgin Australia,New Zealand,41058.0,35.5,0.0,Outbound,200901,2009-01-01
2009,1,Virgin Australia,Papua New Guinea,1284.0,0.0,0.0,Inbound,200901,2009-01-01
2009,1,Virgin Australia,Papua New Guinea,1112.0,4.1,0.0,Outbound,200901,2009-01-01
2009,1,Virgin Australia,Solomon Islands,634.0,0.0,0.0,Inbound,200901,2009-01-01
2009,1,Virgin Australia,Solomon Islands,615.0,5.8,0.0,Outbound,200901,2009-01-01
2009,1,Virgin Australia,Tonga,1291.0,3.9,0.0,Inbound,200901,2009-01-01
2009,1,Virgin Australia,Tonga,959.0,1.1,0.0,Outbound,200901,2009-01-01
2009,1,Virgin Australia,Vanuatu,3389.0,0.9,0.0,Inbound,200901,2009-01-01
2009,1,Virgin Australia,Vanuatu,2806.0,3.2,0.0,Outbound,200901,2009-01-01
2009,1,Virgin Samoa,Western Samoa,2443.0,0.7,0.0,Inbound,200901,2009-01-01
2009,1,Virgin Samoa,Western Samoa,1605.0,1.3,0.0,Outbound,200901,2009-01-01
2009,2,Aerolineas Argentinas,Argentina,2600.0,4.0,0.7,Inbound,200902,2009-02-01
2009,2,Aerolineas Argentinas,Argentina,2226.0,8.8,0.0,Outbound,200902,2009-02-01
2009,2,Aerolineas Argentinas,New Zealand,481.0,113.4,0.0,Inbound,200902,2009-02-01
2009,2,Aerolineas Argentinas,New Zealand,1299.0,95.1,0.0,Outbound,200902,2009-02-01
2009,2,Air Caledonie,New Caledonia,3248.0,1.7,0.7,Inbound,200902,2009-02-01
2009,2,Air Caledonie,New Caledonia,5939.0,56.6,1.9,Outbound,200902,2009-02-01
2009,2,Air Canada,Canada,5649.0,175.6,0.0,Inbound,200902,2009-02-01
2009,2,Air Canada,Canada,4823.0,164.7,0.0,Outbound,200902,2009-02-01
2009,2,Air China,China,11072.0,177.4,14.5,Inbound,200902,2009-02-01
2009,2,Air China,China,9063.0,191.7,2.3,Outbound,200902,2009-02-01
2009,2,Air Mauritius,Mauritius,2183.0,33.2,0.4,Inbound,200902,2009-02-01
2009,2,Air Mauritius,Mauritius,1181.0,49.7,0.0,Outbound,200902,2009-02-01
2009,2,Air New Zealand,Germany,,12.2,0.0,Inbound,200902,2009-02-01
2009,2,Air New Zealand,New Zealand,79791.0,1959.9,229.2,Inbound,200902,2009-02-01
2009,2,Air New Zealand,New Zealand,83383.0,1304.0,3.8,Outbound,200902,2009-02-01
2009,2,Air New Zealand,USA,,219.6,0.0,Inbound,200902,2009-02-01
2009,2,Air Niugini,Papua New Guinea,6022.0,38.2,0.9,Inbound,200902,2009-02-01
2009,2,Air Niugini,Papua New Guinea,6102.0,236.8,5.1,Outbound,200902,2009-02-01
2009,2,Air Pacific,Fiji,9627.0,207.9,0.0,Inbound,200902,2009-02-01
2009,2,Air Pacific,Fiji,8864.0,270.3,14.7,Outbound,200902,2009-02-01
2009,2,Air Tahiti Nui,Tahiti,618.0,11.0,0.0,Inbound,200902,2009-02-01
2009,2,Air Tahiti Nui,Tahiti,659.0,30.6,0.0,Outbound,200902,2009-02-01
2009,2,Air Vanuatu,Vanuatu,2696.0,9.0,0.0,Inbound,200902,2009-02-01
2009,2,Air Vanuatu,Vanuatu,2722.0,43.5,0.0,Outbound,200902,2009-02-01
2009,2,AirAsia X,Malaysia,17063.0,104.4,0.0,Inbound,200902,2009-02-01
2009,2,AirAsia X,Malaysia,10837.0,0.0,0.0,Outbound,200902,2009-02-01
2009,2,Airlines PNG,Papua New Guinea,335.0,0.8,0.0,Inbound,200902,2009-02-01
2009,2,Airlines PNG,Papua New Guinea,330.0,5.2,0.0,Outbound,200902,2009-02-01
2009,2,Asiana Airlines,Korea,7744.0,184.9,6.9,Inbound,200902,2009-02-01
2009,2,Asiana Airlines,Korea,6736.0,70.1,0.0,Outbound,200902,2009-02-01
2009,2,British Airways,Singapore,1921.0,102.7,0.0,Inbound,200902,2009-02-01
2009,2,British Airways,Singapore,2083.0,181.9,0.0,Outbound,200902,2009-02-01
2009,2,British Airways,Thailand,3535.0,31.1,0.2,Inbound,200902,2009-02-01
2009,2,British Airways,Thailand,3514.0,35.1,0.0,Outbound,200902,2009-02-01
2009,2,British Airways,UK,9093.0,311.5,58.8,Inbound,200902,2009-02-01
2009,2,British Airways,UK,6196.0,99.6,0.0,Outbound,200902,2009-02-01
2009,2,Cargolux Airlines Intl,Luxembourg,,95.5,0.0,Inbound,200902,2009-02-01
2009,2,Cargolux Airlines Intl,Luxembourg,,0.0,0.0,Outbound,200902,2009-02-01
2009,2,Cargolux Airlines Intl,New Zealand,,111.5,0.0,Outbound,200902,2009-02-01
2009,2,Cargolux Airlines Intl,Singapore,,41.3,0.0,Inbound,200902,2009-02-01
2009,2,Cargolux Airlines Intl,USA,,40.6,0.0,Outbound,200902,2009-02-01
2009,2,Cathay Pacific Airways,Hong Kong (SAR),64326.0,2387.6,117.8,Inbound,200902,2009-02-01
2009,2,Cathay Pacific Airways,Hong Kong (SAR),45682.0,3716.2,26.3,Outbound,200902,2009-02-01
2009,2,China Airlines,Taiwan,8062.0,66.9,14.6,Inbound,200902,2009-02-01
2009,2,China Airlines,Taiwan,6179.0,29.2,0.0,Outbound,200902,2009-02-01
2009,2,China Eastern Airlines,China,10789.0,152.1,6.2,Inbound,200902,2009-02-01
2009,2,China Eastern Airlines,China,7195.0,107.4,1.9,Outbound,200902,2009-02-01
2009,2,China Southern Airlines,China,6751.0,147.6,11.1,Inbound,200902,2009-02-01
2009,2,China Southern Airlines,China,4639.0,6.2,3.5,Outbound,200902,2009-02-01
2009,2,Continental Micronesia,Guam,1097.0,0.3,0.0,Inbound,200902,2009-02-01
2009,2,Continental Micronesia,Guam,1066.0,2.0,0.0,Outbound,200902,2009-02-01
2009,2,Emirates,New Zealand,20913.0,1018.1,0.0,Inbound,200902,2009-02-01
2009,2,Emirates,New Zealand,19364.0,704.3,0.2,Outbound,200902,2009-02-01
2009,2,Emirates,Singapore,2447.0,89.6,22.6,Inbound,200902,2009-02-01
2009,2,Emirates,Singapore,2008.0,322.2,0.0,Outbound,200902,2009-02-01
