Foreign_City,Australian_City,Pax_2024_In,Pax_2024_Out,Pax_2025_In,Pax_2025_Out,Freight_2024_In_t,Freight_2024_Out_t,Freight_2025_In_t,Freight_2025_Out_t,Is_Total_Row
Bangkok,Melbourne,15048.0,15019.0,18156.0,17508.0,747.2,384.9,833.2,436.1,False
Beijing,Melbourne,4309.0,5006.0,2891.0,3390.0,240.9,119.5,14.2,31.9,False
Bombay,Melbourne,2968.0,3254.0,0.0,0.0,22.8,15.7,0.0,0.0,False
Chengdu,Melbourne,2808.0,3495.0,3681.0,4308.0,121.8,64.6,106.8,70.0,False
Chicago,Melbourne,0.0,0.0,0.0,0.0,119.0,0.0,59.0,0.0,False
Christchurch,Melbourne,10477.0,9962.0,13061.0,10729.0,20.7,6.1,32.6,8.8,False
Colombo,Melbourne,7716.0,7040.0,8187.0,7509.0,245.4,190.5,217.1,267.7,False
Dallas,Melbourne,2104.0,2665.0,2966.0,3454.0,28.0,61.6,29.8,2.1,False
Denpasar,Melbourne,40267.0,43739.0,48267.0,48773.0,162.4,316.9,173.2,268.7,False
Doha,Melbourne,13241.0,19306.0,14440.0,20652.0,591.2,836.4,678.3,428.8,False
Dubai,Melbourne,19355.0,28645.0,22804.0,32877.0,505.3,1121.7,709.2,1084.8,False
Guangzhou,Melbourne,9756.0,11193.0,10497.0,11182.0,678.7,491.8,726.1,396.7,False
Haikou,Melbourne,2201.0,3322.0,2441.0,3201.0,194.5,81.7,199.8,47.0,False
Hangzhou,Melbourne,0.0,0.0,2683.0,2695.0,0.0,0.0,233.9,10.2,False
Hanoi,Melbourne,1416.0,2445.0,3619.0,4081.0,69.1,78.7,171.5,46.2,False
Ho Chi Minh City,Melbourne,16239.0,16469.0,18374.0,17684.0,598.7,134.6,571.5,141.7,False
Hong Kong,Melbourne,17067.0,20044.0,24807.0,24920.0,1334.9,988.2,1463.7,1046.4,False
Honolulu,Melbourne,2553.0,2275.0,2573.0,2243.0,14.3,69.0,44.4,21.8,False
Istanbul,Melbourne,1155.0,2900.0,1344.0,2720.0,139.3,177.4,151.0,161.2,False
Jakarta,Melbourne,1953.0,2144.0,4027.0,3810.0,110.0,356.9,88.2,127.6,False
Kuala Lumpur,Melbourne,19452.0,18633.0,21114.0,18587.0,832.7,601.1,844.3,446.9,False
London,Melbourne,1195.0,1240.0,0.0,0.0,54.0,0.9,0.0,0.0,False
Los Angeles,Melbourne,10310.0,10384.0,9411.0,8315.0,323.9,401.7,243.9,209.0,False
Manila,Melbourne,8521.0,7669.0,10376.0,7882.0,223.7,403.7,268.4,325.9,False
Nadi,Melbourne,11419.0,12015.0,12030.0,12341.0,67.3,62.5,99.9,106.4,False
Nanjing,Melbourne,0.0,0.0,1673.0,1243.0,0.0,0.0,156.5,14.8,False
New Delhi,Melbourne,9826.0,7993.0,9502.0,9191.0,118.2,148.6,208.4,180.5,False
New York,Melbourne,0.0,0.0,0.0,0.0,73.7,0.0,20.2,0.0,False
Noumea,Melbourne,403.0,393.0,0.0,0.0,0.0,0.1,0.0,0.0,False
Phuket,Melbourne,4029.0,3981.0,5775.0,5529.0,64.4,0.1,144.0,0.4,False
Port Vila,Melbourne,82.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Qingdao,Melbourne,643.0,818.0,1389.0,1416.0,92.2,13.1,119.3,17.3,False
Queenstown,Melbourne,5406.0,4829.0,6363.0,5763.0,0.0,0.3,0.0,0.4,False
San Francisco,Melbourne,5269.0,5466.0,6172.0,5499.0,127.7,316.8,136.6,240.2,False
Santiago,Melbourne,3185.0,3115.0,2871.0,2921.0,51.7,152.1,16.9,168.6,False
Seoul,Melbourne,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,False
Shanghai,Melbourne,9246.0,10596.0,13454.0,13360.0,670.5,379.1,821.0,335.0,False
Singapore,Melbourne,64515.0,67613.0,68479.0,71556.0,3093.9,2324.5,2661.0,2576.9,False
Taipei,Melbourne,3017.0,3278.0,3740.0,3844.0,142.7,210.1,138.8,142.7,False
Tokyo,Melbourne,9597.0,9498.0,10194.0,9855.0,251.9,152.4,268.0,220.6,False
Wellington,Melbourne,6911.0,6665.0,7669.0,7280.0,8.4,0.8,9.9,1.6,False
Xiamen,Melbourne,5544.0,5616.0,6162.0,6266.0,294.8,69.9,355.2,77.7,False
Auckland,Perth,9216.0,8373.0,8894.0,8250.0,285.9,329.5,289.3,167.7,False
Bangkok,Perth,3855.0,3941.0,8996.0,7858.0,224.4,56.0,350.1,152.6,False
Denpasar,Perth,39728.0,43635.0,45661.0,46871.0,207.0,68.3,35.7,0.0,False
Doha,Perth,9095.0,14372.0,9033.0,14474.0,248.2,396.7,216.6,399.9,False
Dubai,Perth,8331.0,14417.0,10682.0,15510.0,290.5,467.3,498.0,490.2,False
