City,Metric,Direction,Year,Value,Perc_Change_pp,Perc_Change_0_1
Melbourne,Passengers,Inbound,2024,393502.0,14.3,0.14300000000000002
Melbourne,Passengers,Inbound,2025,449863.0,14.3,0.14300000000000002
Melbourne,Passengers,Outbound,2024,425979.0,8.1,0.081
Melbourne,Passengers,Outbound,2025,460578.0,8.1,0.081
Perth,Aircraft Movements,Inbound,2024,1002.0,5.9,0.059000000000000004
Perth,Aircraft Movements,Inbound,2025,1061.0,5.9,0.059000000000000004
Perth,Aircraft Movements,Outbound,2024,1001.0,6.7,0.067
Perth,Aircraft Movements,Outbound,2025,1068.0,6.7,0.067
Perth,Freight (Tonnes),Inbound,2024,4127.1,5.0,0.05
Perth,Freight (Tonnes),Inbound,2025,4332.5,5.0,0.05
Perth,Freight (Tonnes),Outbound,2024,4305.8,-4.5,-0.045
Perth,Freight (Tonnes),Outbound,2025,4113.2,-4.5,-0.045
Perth,Passengers,Inbound,2024,170679.0,17.9,0.179
Perth,Passengers,Inbound,2025,201195.0,17.9,0.179
Perth,Passengers,Outbound,2024,186609.0,10.8,0.10800000000000001
Perth,Passengers,Outbound,2025,206834.0,10.8,0.10800000000000001
Sunshine Coast,Aircraft Movements,Inbound,2024,,,
Sunshine Coast,Aircraft Movements,Inbound,2025,13.0,,
Sunshine Coast,Aircraft Movements,Outbound,2024,,,
Sunshine Coast,Aircraft Movements,Outbound,2025,13.0,,
Sunshine Coast,Freight (Tonnes),Inbound,2024,,,
Sunshine Coast,Freight (Tonnes),Inbound,2025,,,
Sunshine Coast,Freight (Tonnes),Outbound,2024,,,
Sunshine Coast,Freight (Tonnes),Outbound,2025,,,
Sunshine Coast,Passengers,Inbound,2024,,,
Sunshine Coast,Passengers,Inbound,2025,1576.0,,
Sunshine Coast,Passengers,Outbound,2024,,,
Sunshine Coast,Passengers,Outbound,2025,1507.0,,
Sydney,Aircraft Movements,Inbound,2024,3221.0,1.6,0.016
Sydney,Aircraft Movements,Inbound,2025,3272.0,1.6,0.016
Sydney,Aircraft Movements,Outbound,2024,3202.0,0.9,0.009000000000000001
Sydney,Aircraft Movements,Outbound,2025,3231.0,0.9,0.009000000000000001
Sydney,Freight (Tonnes),Inbound,2024,29670.3,-0.1,-0.001
Sydney,Freight (Tonnes),Inbound,2025,29630.4,-0.1,-0.001
Sydney,Freight (Tonnes),Outbound,2024,16398.1,-18.7,-0.187
Sydney,Freight (Tonnes),Outbound,2025,13336.7,-18.7,-0.187
Sydney,Passengers,Inbound,2024,599358.0,6.8,0.068
Sydney,Passengers,Inbound,2025,640137.0,6.8,0.068
Sydney,Passengers,Outbound,2024,617617.0,5.0,0.05
Sydney,Passengers,Outbound,2025,648323.0,5.0,0.05
Toowoomba Wellcamp,Aircraft Movements,Inbound,2024,4.0,0.0,0.0
Toowoomba Wellcamp,Aircraft Movements,Inbound,2025,4.0,0.0,0.0
Toowoomba Wellcamp,Aircraft Movements,Outbound,2024,4.0,0.0,0.0
Toowoomba Wellcamp,Aircraft Movements,Outbound,2025,4.0,0.0,0.0
Toowoomba Wellcamp,Freight (Tonnes),Inbound,2024,52.2,-61.9,-0.619
Toowoomba Wellcamp,Freight (Tonnes),Inbound,2025,19.9,-61.9,-0.619
Toowoomba Wellcamp,Freight (Tonnes),Outbound,2024,91.1,-28.1,-0.281
Toowoomba Wellcamp,Freight (Tonnes),Outbound,2025,65.5,-28.1,-0.281
Toowoomba Wellcamp,Passengers,Inbound,2024,,,
Toowoomba Wellcamp,Passengers,Inbound,2025,,,
Toowoomba Wellcamp,Passengers,Outbound,2024,,,
Toowoomba Wellcamp,Passengers,Outbound,2025,,,
