Year,Month,YearMonthDate,Airline_Name,Service_Region,Direction,Flights,Passengers,Seats_Available,Seat_Utilisation,Is_Total_AllServices
2025,5,2025-05-01,Qantas Airways,Canada,Inbound,13.0,2713.0,3050.0,0.89,False
2025,5,2025-05-01,Qantas Airways,Chile,Inbound,18.0,3538.0,4237.0,0.835,False
2025,5,2025-05-01,Qantas Airways,East Timor,Inbound,31.0,1291.0,3007.0,0.429,False
2025,5,2025-05-01,Qantas Airways,Fiji,Inbound,31.0,4852.0,5298.0,0.9159999999999999,False
2025,5,2025-05-01,Qantas Airways,France,Inbound,13.0,1868.0,3064.0,0.61,False
2025,5,2025-05-01,Qantas Airways,Hong Kong (SAR),Inbound,68.0,12473.0,16362.0,0.762,False
2025,5,2025-05-01,Qantas Airways,Japan,Inbound,124.0,31723.0,35548.0,0.892,False
2025,5,2025-05-01,Qantas Airways,Korea,Inbound,2.0,587.0,594.0,0.988,False
2025,5,2025-05-01,Qantas Airways,New Caledonia,Inbound,25.0,2614.0,3419.0,0.765,False
2025,5,2025-05-01,Qantas Airways,New Zealand,Inbound,655.0,92039.0,109253.0,0.8420000000000001,False
2025,5,2025-05-01,Qantas Airways,Palau,Inbound,4.0,214.0,505.0,0.424,False
2025,5,2025-05-01,Qantas Airways,Papua New Guinea,Inbound,31.0,3885.0,5289.0,0.735,False
2025,5,2025-05-01,Qantas Airways,Philippines,Inbound,49.0,12751.0,13552.0,0.941,False
2025,5,2025-05-01,Qantas Airways,Singapore,Inbound,179.0,37487.0,46904.0,0.799,False
2025,5,2025-05-01,Qantas Airways,Solomon Islands,Inbound,17.0,1039.0,1638.0,0.634,False
2025,5,2025-05-01,Qantas Airways,South Africa,Inbound,20.0,7984.0,9632.0,0.8290000000000001,False
2025,5,2025-05-01,Qantas Airways,Thailand,Inbound,31.0,7684.0,8616.0,0.892,False
2025,5,2025-05-01,Qantas Airways,Tonga,Inbound,8.0,721.0,1208.0,0.597,False
2025,5,2025-05-01,Qantas Airways,UK,Inbound,59.0,17511.0,21022.0,0.833,False
2025,5,2025-05-01,Qantas Airways,USA,Inbound,217.0,46085.0,57185.0,0.8059999999999999,False
2025,5,2025-05-01,Qantas Airways,Vanuatu,Inbound,17.0,1233.0,1643.0,0.7509999999999999,False
2025,5,2025-05-01,Qantas Airways,Western Somoa,Inbound,14.0,1827.0,2126.0,0.8590000000000001,False
2025,5,2025-05-01,Qantas Airways,ALL SERVICES,Inbound,1759.0,321197.0,384919.0,0.8340000000000001,False
2025,5,2025-05-01,Qatar Airways,Qatar,Inbound,185.0,49889.0,73001.0,0.6829999999999999,False
2025,5,2025-05-01,Royal Brunei Airlines,Brunei,Inbound,23.0,2726.0,5842.0,0.467,False
2025,5,2025-05-01,Scoot Tigerair,Singapore,Inbound,143.0,45011.0,51147.0,0.88,False
2025,5,2025-05-01,Sichuan Airlines,China,Inbound,35.0,8148.0,10341.0,0.7879999999999999,False
2025,5,2025-05-01,Singapore Airlines,New Zealand,Inbound,8.0,,,,False
2025,5,2025-05-01,Singapore Airlines,Singapore,Inbound,621.0,151841.0,176772.0,0.8590000000000001,False
2025,5,2025-05-01,Singapore Airlines,USA,Inbound,30.0,,,,False
2025,5,2025-05-01,Singapore Airlines,ALL SERVICES,Inbound,659.0,151841.0,176772.0,0.8590000000000001,False
2025,5,2025-05-01,Solomon Airlines,New Zealand,Inbound,5.0,360.0,735.0,0.49,False
2025,5,2025-05-01,Solomon Airlines,Solomon Islands,Inbound,13.0,1245.0,1911.0,0.6509999999999999,False
2025,5,2025-05-01,Solomon Airlines,Vanuatu,Inbound,4.0,337.0,588.0,0.573,False
2025,5,2025-05-01,Solomon Airlines,ALL SERVICES,Inbound,22.0,1942.0,3234.0,0.6,False
2025,5,2025-05-01,South African Airways,South Africa,Inbound,20.0,3608.0,5060.0,0.713,False
2025,5,2025-05-01,SriLankan Airlines,Sri Lanka,Inbound,49.0,12641.0,14522.0,0.87,False
2025,5,2025-05-01,Tasman Cargo Airlines,Hong Kong (SAR),Inbound,28.0,,,,False
2025,5,2025-05-01,Tasman Cargo Airlines,New Zealand,Inbound,49.0,,,,False
2025,5,2025-05-01,Tasman Cargo Airlines,ALL SERVICES,Inbound,77.0,,,,False
2025,5,2025-05-01,TransNusa,Indonesia,Inbound,18.0,1493.0,3132.0,0.47700000000000004,False
2025,5,2025-05-01,Turkish Airlines,Turkey,Inbound,31.0,4447.0,10199.0,0.436,False
2025,5,2025-05-01,T'way Air,Korea,Inbound,14.0,4058.0,4858.0,0.835,False
2025,5,2025-05-01,United Airlines,USA,Inbound,121.0,23519.0,32045.0,0.7340000000000001,False
2025,5,2025-05-01,United Parcel Service,China,Inbound,5.0,,,,False
2025,5,2025-05-01,United Parcel Service,Korea,Inbound,,,,,False
2025,5,2025-05-01,United Parcel Service,Singapore,Inbound,,,,,False
2025,5,2025-05-01,United Parcel Service,USA,Inbound,27.0,,,,False
2025,5,2025-05-01,United Parcel Service,ALL SERVICES,Inbound,32.0,,,,False
2025,5,2025-05-01,Vietjet Air,Vietnam,Inbound,88.0,20758.0,31118.0,0.667,False
2025,5,2025-05-01,Vietnam Airlines,Vietnam,Inbound,86.0,21527.0,26309.0,0.818,False
2025,5,2025-05-01,Virgin Australia,Fiji,Inbound,70.0,9842.0,12596.0,0.7809999999999999,False
2025,5,2025-05-01,Virgin Australia,Indonesia,Inbound,137.0,21988.0,24808.0,0.8859999999999999,False
